Log analysis
2021-02-11 13:50:19 ALLOW UDP 127.0.0.1 239.255.255.250 61607 1900 0 - - - - - - - RECEIVE
2021-02-11 13:50:19 ALLOW UDP ::1 ff02::c 61604 1900 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP ::1 ff02::c 61604 1900 0 - - - - - - - RECEIVE
2021-02-11 13:50:19 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 50118 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP 192.168.56.1 224.0.0.252 50118 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 50118 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP 192.168.99.1 224.0.0.252 50118 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 56706 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP 192.168.56.1 224.0.0.252 56706 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 56706 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP 192.168.99.1 224.0.0.252 56706 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW ICMP fe80::ada7:ab40:ad8:3f32 ff02::1 - - 0 - - - - 136 0 - SEND
2021-02-11 13:50:19 ALLOW ICMP fe80::2cb5:2535:ba30:cd7b ff02::1 - - 0 - - - - 136 0 - SEND
2021-02-11 13:50:19 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:19 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:19 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::fb 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::fb 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:19 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::fb 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::fb 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:19 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 52035 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP 192.168.56.1 224.0.0.252 52035 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 52035 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP 192.168.99.1 224.0.0.252 52035 5355 0 - - - - - - - SEND
2021-02-11 13:50:19 ALLOW UDP 127.0.0.1 127.0.0.1 57613 9999 0 - - - - - - - SEND
2021-02-11 13:50:20 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:20 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:20 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:20 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:20 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::fb 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:20 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::fb 5353 5353 0 - - - - - - - RECEIVE
